Sex,Edad,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Females,0,1167057,1176672,1179795,1180549,1180421,1179044,1172515,1163437,1155631,1150310,1142325,1131482,1125683,1121281,1117292,1110442,1102920,1100662,1098605,1097152,1096610,1095779,1094670,1093272,1091590,1089615,1093923,1086739,1078850,1070425,1061494
Females,1,1146466,1157890,1165520,1168984,1170254,1170669,1169744,1163606,1155000,1148241,1140772,1131736,1123694,1118668,1114347,1109165,1102499,1097423,1096785,1094538,1093076,1091328,1089304,1086997,1084411,1081537,1082768,1087520,1080371,1072527,1064151
Females,2,1131390,1140176,1151872,1159567,1163193,1164723,1165294,1164442,1158557,1149363,1142564,1136198,1128405,1120979,1115566,1110822,1106371,1101336,1097571,1097094,1096817,1096254,1095408,1094275,1092856,1091143,1079973,1081213,1085960,1078816,1070983
Females,3,1119138,1122734,1134380,1145994,1153768,1157554,1159154,1159713,1159043,1151686,1143762,1139370,1133358,1126097,1118188,1112537,1108603,1105487,1101600,1098002,1098787,1099284,1099499,1099424,1099059,1098399,1089922,1078750,1079993,1084735,1077595
Females,4,1108838,1111184,1116869,1128337,1139956,1147859,1151639,1153174,1153860,1151143,1145951,1141314,1136620,1131059,1123404,1115156,1110138,1107481,1105409,1101583,1102345,1102819,1103008,1102909,1102517,1101829,1097300,1088824,1077662,1078908,1083647
Females,5,1099783,1105005,1106802,1112376,1123854,1135568,1143489,1147221,1148856,1148563,1146437,1142777,1138655,1134385,1128430,1120453,1112810,1108964,1107279,1105216,1105133,1104760,1104103,1103157,1101920,1100388,1100710,1096183,1087713,1076560,1077811
Females,6,1090861,1096151,1100903,1102564,1108146,1119705,1131434,1139310,1143128,1143767,1144134,1143548,1140302,1136579,1131859,1125762,1118478,1111832,1108866,1107221,1106485,1105461,1104153,1102557,1100672,1098495,1099157,1099478,1094953,1086490,1075348
Females,7,1083630,1085762,1092432,1097056,1098696,1104362,1115923,1127592,1135546,1138529,1139612,1141265,1141164,1138278,1133975,1129381,1124163,1117623,1111740,1108892,1107550,1105921,1104009,1101812,1099328,1096554,1097146,1097807,1098128,1093604,1085148
Females,8,1078439,1078357,1082353,1088889,1093490,1095183,1100835,1112335,1124068,1131425,1134480,1136422,1138719,1138946,1135433,1131374,1127712,1123083,1117269,1111518,1109368,1106934,1104219,1101222,1097943,1094379,1095107,1095698,1096358,1096678,1092156
Females,9,1074615,1074268,1075232,1079104,1085608,1090243,1091924,1097510,1109047,1120616,1127339,1130502,1133461,1136058,1135606,1132383,1129300,1126162,1122215,1116473,1113537,1110319,1106824,1103051,1099000,1094669,1092850,1093579,1094169,1094828,1095147
Females,10,1070916,1072068,1071344,1072189,1076034,1082559,1087174,1088801,1094418,1106201,1116445,1122528,1127119,1130387,1132226,1132146,1129978,1127383,1124905,1121020,1117616,1113932,1109972,1105738,1101227,1096440,1093044,1091231,1091961,1092550,1093208
Females,11,1065627,1070150,1069083,1068239,1069058,1072926,1079435,1083985,1085638,1091717,1101781,1111021,1118804,1123725,1126119,1128457,1129580,1127845,1125947,1123548,1120024,1116220,1112141,1107787,1103157,1098252,1094652,1091262,1089454,1090187,1090774
Females,12,1057851,1065887,1067075,1065882,1065013,1065871,1069694,1076146,1080726,1083075,1086971,1095603,1106877,1115014,1118924,1121952,1125705,1127226,1126220,1124432,1121114,1117513,1113637,1109483,1105051,1100342,1096155,1092563,1089179,1087377,1088112
Females,13,1048033,1057286,1062615,1063663,1062439,1061609,1062430,1066180,1072644,1078143,1077851,1079941,1090933,1102595,1109589,1114224,1118851,1123031,1125359,1124458,1121330,1117919,1114231,1110264,1106017,1101491,1097746,1093565,1089983,1086608,1084813
Females,14,1037006,1045785,1053579,1058762,1059760,1058559,1057688,1058419,1062189,1069626,1072210,1069960,1074669,1086084,1096471,1104255,1110662,1115769,1120845,1123273,1120296,1117034,1113495,1109676,1105577,1101197,1098289,1094549,1090379,1086809,1083444
Females,15,1024583,1034230,1041457,1049070,1054185,1055198,1053936,1052956,1053706,1058367,1062832,1063523,1064032,1069211,1079259,1090434,1100113,1107113,1113217,1118389,1116089,1113502,1110634,1107484,1104049,1100330,1097371,1094467,1090737,1086581,1083025
Females,16,1009740,1022194,1029129,1036110,1043628,1048777,1049692,1048281,1047331,1048756,1050611,1053498,1056936,1057977,1061724,1072457,1085581,1096028,1104178,1110341,1109138,1107648,1105873,1103812,1101463,1098824,1095922,1092966,1090073,1086355,1082214
Females,17,991935,1007275,1016255,1022897,1029790,1037312,1042343,1043086,1041695,1041157,1040035,1040702,1046301,1050314,1049899,1054201,1066850,1080982,1092698,1100866,1100839,1100525,1099927,1099041,1097865,1096395,1093908,1091011,1088068,1085189,1081484
Females,18,971239,988860,1000586,1009227,1015759,1022659,1030057,1034889,1035649,1034406,1031541,1029615,1032953,1039169,1041694,1041686,1047917,1061801,1077334,1089022,1090465,1091625,1092504,1093097,1093400,1093410,1091088,1088608,1085723,1082795,1079930
Females,19,947774,967464,981446,992801,1001310,1007857,1014618,1021776,1026628,1027255,1023964,1020734,1021396,1025397,1030130,1032899,1034792,1042460,1057874,1073248,1076602,1079684,1082495,1085030,1087282,1089246,1087809,1085494,1083025,1080154,1077240
Females,20,921892,943171,959410,972988,984204,992725,999121,1005616,1012796,1017217,1016166,1012977,1012197,1013549,1016068,1020923,1025560,1029055,1038348,1053818,1059434,1064801,1069919,1074780,1079377,1083702,1083429,1081998,1079691,1077235,1074377
Females,21,894105,916514,934670,950468,963896,975123,983474,989608,996122,1002606,1005692,1005146,1004257,1004189,1004055,1006659,1013372,1019690,1024871,1034251,1041884,1049299,1056494,1063459,1070187,1076668,1077662,1077392,1075962,1073664,1071222
Females,22,864862,888012,907620,925330,940974,954406,965458,973533,979693,985209,990809,994924,996421,996235,994674,994626,999106,1007503,1015530,1020809,1029232,1037453,1045470,1053273,1060853,1068200,1070531,1071519,1071244,1069817,1067528
Females,23,834747,858235,878978,898122,915667,931339,944587,955360,963467,968403,973426,980420,986329,988541,986874,985428,987247,993385,1003470,1011635,1019944,1028053,1035959,1043653,1051124,1058365,1062131,1064444,1065420,1065141,1063716
Females,24,804440,827895,849385,869677,888663,906236,921733,934712,945524,952371,956929,963441,972122,978731,979473,977929,978344,981778,989551,999816,1008239,1016468,1024498,1032323,1039931,1047313,1052495,1056233,1058527,1059491,1059207
Females,25,774545,797558,819510,840561,860712,879727,897158,912393,925406,935080,941467,947347,955554,964907,970094,971005,971266,973195,978207,986213,994879,1003359,1011650,1019743,1027628,1035295,1041670,1046817,1050529,1052803,1053756
Females,26,745640,767784,789805,811372,832308,852481,871367,888574,903850,915944,924933,932310,939948,948785,956780,962170,964840,966511,969915,975201,983610,991832,999865,1007699,1015325,1022734,1029955,1036292,1041407,1045094,1047350
Females,27,718064,739128,760727,782409,803867,824835,844902,863586,880820,895439,906633,916246,925419,933651,941215,949428,956499,960467,963513,967218,974860,982305,989552,996591,1003414,1010012,1017711,1024892,1031193,1036278,1039940
Females,28,691975,711863,732738,754041,775626,797117,817994,837880,856595,873373,886945,898505,909894,919635,926699,934463,944233,952504,957759,961096,967696,974086,980266,986227,991960,997459,1005287,1012946,1020091,1026360,1031416
Females,29,667341,686312,706097,726693,747922,769550,790962,811674,831593,849984,865665,879419,892706,904608,913281,920528,929717,940588,950031,955595,961119,966423,971505,976358,980975,985349,993006,1000795,1008419,1015529,1021766
Females,30,643771,662438,681038,700592,721132,742384,763943,785211,805956,825591,842985,858820,874148,887890,898853,907652,916150,926381,938332,948096,952975,957628,962056,966251,970207,973918,981165,988781,996537,1004127,1011206
Females,31,620750,639715,657572,675965,695445,716032,737232,758644,779945,800365,819194,836835,854047,869786,882720,893730,903596,913094,924317,936579,941598,946396,950973,955322,959437,963310,970007,977211,984797,992522,1000081
Females,32,597988,617495,635269,652935,671286,690799,711325,732411,753851,774873,794577,813613,832485,850082,865141,878025,889921,900757,911163,922709,928390,933861,939123,944167,948986,953573,959650,966305,973484,981041,988737
Females,33,575345,595321,613465,631075,648703,667068,686542,706988,728082,749310,769624,789438,809628,828848,845865,860784,874401,887233,898897,909610,915964,922120,928079,933831,939370,944688,950137,956174,962806,969960,977492
Females,34,552750,572920,591589,609584,627163,644824,663142,682530,702991,723886,744468,764897,785739,806234,825005,841803,857283,871821,885422,897341,904347,911169,917805,924248,930489,936521,941452,946866,952884,959494,966625
Females,35,530259,550351,569385,587910,605886,623493,641099,659323,678737,698979,719355,740105,761435,782557,802651,821157,838417,854778,870025,883849,891764,899514,907097,914505,921729,928760,933486,938392,943789,949789,956379
Females,36,508010,527817,546968,565872,584368,602358,619928,637458,655683,674837,694686,715312,736839,758409,779170,798988,817903,835977,852977,868447,877652,886724,895657,904444,913075,921540,925903,930612,935503,940884,946866
Females,37,486117,505519,524566,543604,562452,580966,598918,616409,633948,651872,670750,690924,712201,733949,755203,775692,795856,815519,834184,851386,862257,873038,883725,894309,904780,915128,918797,923146,927841,932718,938084
Females,38,464686,483543,502369,521289,540288,559145,577616,595488,612984,630192,647964,667245,687944,709412,730885,751870,772645,793505,813713,832549,845227,857873,870484,883049,895558,908000,912442,916095,920432,925114,929976
Females,39,444087,461767,480506,499217,518086,537094,555912,574297,592166,609315,626442,644646,664369,685234,706472,727653,748843,770290,791640,811998,826312,840659,855034,869427,883828,898226,905340,909758,913400,917724,922392
Females,40,424665,440789,458846,477487,496143,515009,533969,552713,571102,588645,605712,623246,641846,661732,682406,703311,724627,746465,768377,789844,805579,821414,837343,853357,869447,885603,895573,902652,907054,910683,914995
Females,41,406602,421189,437985,455928,474540,493185,511983,530892,549622,567697,585164,602597,620497,639237,658949,679295,700312,722235,744482,766507,783411,800479,817707,835087,852611,870268,882950,892874,899928,904312,907930
Females,42,389933,403063,418467,435184,453084,471676,490283,509001,527885,546343,564324,582103,599879,617908,636491,655885,676308,697898,720201,742533,760333,778356,796600,815059,833724,852588,867623,880251,890142,897170,901538
Females,43,374488,386499,400393,415699,432389,450279,468809,487347,506041,524652,543045,561344,579421,597292,615172,633457,652908,673856,695801,718158,736563,755243,774196,793418,812901,832638,849979,864962,877548,887405,894408
Females,44,360059,371321,383881,397697,412965,429642,447482,465936,484447,502867,521437,540140,558689,576857,594624,612143,630430,650415,671683,693673,712613,731878,751470,771385,791617,812162,830049,847339,862273,874818,884641
Females,45,346537,357045,368777,381258,395045,410291,426925,444694,463121,481373,499749,518583,537517,556150,574234,591591,609045,627871,648161,669448,688917,708767,729000,749615,770608,791976,809537,827366,844598,859482,871983
Females,46,333835,343558,354542,366183,378635,392413,407612,424174,441916,460064,478310,496989,515973,534959,553581,571202,588405,606414,625532,645812,665588,685790,706423,727486,748978,770898,789278,806767,824535,841707,856537
Females,47,321715,331104,341055,351972,363588,376021,389757,404891,421422,438891,457040,475586,494398,513423,532418,550533,567945,585706,603976,623072,642945,663278,684077,705344,727079,749283,768140,786436,803861,821565,838675
Females,48,309984,319230,328613,338517,349400,360998,373398,387079,402171,418450,435919,454315,472985,491832,510857,529355,547243,565186,583205,601442,621217,641474,662221,683460,705193,727421,746502,765278,783506,800865,818503
Females,49,298670,307429,316761,326082,335954,346837,358386,370734,384376,399238,415503,433196,451705,470393,489212,507794,526117,544468,562617,580614,600167,620217,640771,661833,683406,705492,724614,743624,762328,780485,797776
Females,50,287969,295813,304954,314235,323514,333379,344228,355724,368042,381470,396306,412764,430568,449097,467741,486136,504542,523285,541829,559947,579257,599077,619415,640275,661663,683581,702617,721671,740604,759231,777314
Females,51,277955,284971,293333,302416,311665,320933,330762,341564,353030,365143,378547,393550,410109,427927,446422,464626,482795,501619,520532,539036,558138,577766,597929,618635,639887,661692,680611,699574,718546,737396,755943
Females,52,268452,275104,282466,290771,299821,309046,318288,328073,338828,350102,362214,375785,390861,407429,425257,443244,461160,479770,498757,517579,536540,556049,576120,596759,617973,639769,658620,677462,696337,715221,733984
Females,53,259343,265701,272575,279891,288168,297196,306388,315583,325326,335903,347155,359411,373064,388137,404742,422018,439658,458021,476788,495678,514541,533982,554014,574647,595891,617754,636564,655331,674080,692861,711650
Females,54,250656,256495,263151,269978,277268,285525,294511,303668,312814,322397,332934,344293,356631,370283,385410,401445,418361,436441,454941,473595,492366,511747,531753,552397,573690,595644,614391,633106,651771,670418,689097
Females,55,242361,247744,253891,260506,267305,274571,282790,291727,300845,309836,319371,330013,341448,353784,367488,382059,397725,415056,433260,451652,470297,489584,509530,530150,551459,573469,592103,610738,629341,647894,666429
Females,56,234259,239628,245083,251195,257779,264550,271782,279953,288858,297808,306742,316394,327096,338532,350910,364079,378285,394354,411790,429866,448362,467532,487396,507971,529274,551322,569755,588259,606773,625256,643688
Females,57,226010,231886,236897,242325,248396,254964,261698,268869,276998,285741,294660,303713,313394,324083,335569,347429,360243,374827,390998,408310,426630,445656,465410,485912,507183,529243,547476,565774,584149,602533,620886
Females,58,217504,223706,229084,234054,239446,245514,252040,258717,265858,273814,282518,291559,300636,310295,321049,332008,343505,356691,371365,387397,405440,424213,443740,464045,485149,507078,525286,543385,561546,579784,598030
Females,59,208778,215109,220826,226157,231095,236478,242508,248971,255608,262584,270529,279348,288391,297456,307191,317384,327946,339829,353098,367628,385240,403590,422705,442609,463328,484886,502979,521045,538998,557013,575104
Females,60,199834,206337,212162,217832,223122,228041,233377,239364,245791,252247,259225,267291,276100,285111,294258,303424,313197,324157,336123,349225,366249,384003,402514,421806,441906,462839,480645,498586,516494,534290,552147
Females,61,190785,197247,203329,209096,214720,219991,224876,230160,236096,242382,248822,255862,263929,272713,281778,290395,299176,309303,320336,332152,348449,365450,383182,401669,420936,441009,458485,476137,493911,511650,529279
Females,62,181813,187889,194183,200188,205909,211509,216735,221554,226805,232607,238837,245349,252397,260418,269241,277814,286091,295182,305348,316242,331715,347854,364684,382229,400511,419555,436529,453849,471324,488917,506476
Females,63,172996,178807,184753,190981,196929,202610,208154,213313,218092,223216,228978,235251,241762,248771,256802,265179,273441,281991,291122,301139,315755,330994,346878,363430,380671,398622,414931,431737,448867,466150,483550
Females,64,164289,170029,175634,181498,187671,193565,199167,204657,209769,214440,219488,225251,231546,238004,245010,252652,260755,269217,277782,286790,300586,314964,329945,345547,361791,378697,393864,409995,426601,443527,460604
Females,65,155777,161163,166808,172333,178126,184223,190059,195579,201006,206018,210598,215634,221410,227646,234085,240748,248156,256416,264887,273324,286341,299899,314018,328716,344011,359920,373831,388826,404750,421143,437853
Females,66,147517,152497,157891,163447,168886,174604,180619,186362,191826,197139,202036,206616,211670,217388,223572,229705,236174,243702,251943,260290,272427,285056,298193,311854,326055,340810,354927,368672,383460,399164,415331
Females,67,139455,144265,149174,154473,159938,165295,170919,176850,182495,187844,193048,197895,202497,207505,213159,219059,225012,231581,239091,247197,258352,269940,281975,294469,307435,320886,335670,349605,363143,377709,393179
Females,68,131336,136480,140877,145692,150900,156278,161550,167054,172874,178401,183617,188767,193625,198174,203116,208503,214229,220261,226803,234179,244461,255129,266193,277664,289552,301869,315608,330184,343890,357206,371534
Females,69,122886,128726,133053,137355,142082,147183,152450,157612,163009,168705,174066,179201,184344,189132,193618,198321,203540,209328,215324,221732,231240,241093,251301,261872,272816,284141,296405,309920,324234,337692,350768
Females,70,114187,120240,125260,129481,133694,138321,143312,148446,153489,158765,164278,169512,174624,179703,184426,188641,193173,198477,204223,210071,218797,227826,237166,246824,256807,267123,278470,290497,303744,317772,330961
Females,71,105586,111152,116748,121628,125761,129878,134386,139247,144258,149159,154251,159622,164816,169849,174881,179278,183256,187912,193181,198770,206764,215023,223554,232363,241455,250835,261324,272430,284196,297157,310881
Females,72,97308,102314,107673,113101,117860,121896,125894,130289,135010,139871,144578,149515,154832,159926,164902,169582,173740,177834,182455,187572,194933,202530,210369,218455,226790,235381,244977,255241,266088,277581,290240
Females,73,89386,94045,98863,104050,109323,113954,117876,121747,126011,130590,135234,139767,144664,149853,154842,159527,163992,168203,172267,176751,183486,190429,197583,204952,212539,220348,229437,238828,248834,259409,270613
Females,74,81997,85889,90615,95270,100285,105404,109899,113681,117426,121556,125898,130367,134848,139605,144657,149393,153889,158360,162516,166452,172519,178761,185181,191782,198564,205532,214210,223084,232215,241945,252227
Females,75,75407,78148,82506,87063,91557,96393,101342,105679,109323,112940,116845,121005,125408,129744,134328,139145,143716,148171,152553,156589,162023,167601,173326,179201,185225,191400,199198,207642,216244,225095,234526
Females,76,69737,71383,74822,79012,83398,87722,92380,97133,101315,104837,108216,111920,116027,120265,124401,128782,133443,137931,142283,146527,151459,156515,161699,167011,172451,178021,184963,192541,200703,209018,217574
Females,77,65021,65593,68103,71398,75426,79626,83768,88242,92801,96837,100106,103281,106936,110872,114779,118981,123462,127803,132119,136413,140943,145585,150342,155213,160200,165302,171584,178348,185655,193525,201543
Females,78,61214,60823,62353,64746,67897,71754,75755,79713,83994,88365,92125,95193,98325,101827,105422,109364,113646,117792,121953,126203,130445,134794,139252,143820,148498,153287,158887,165042,171548,178576,186145
Females,79,58083,57143,57581,59051,61323,64324,67983,71782,75558,79655,83725,87239,90247,93242,96415,100051,104048,107999,111958,116021,120026,124138,128357,132684,137122,141669,146698,152182,158077,164308,171040
Females,80,55057,54590,53865,54280,55680,57830,60686,64142,67739,71337,75128,78933,82346,85206,87907,91115,94776,98441,102201,106050,109829,113713,117704,121804,126012,130331,134769,139645,144866,150478,156409
Females,81,51859,51860,51210,50540,50938,52271,54303,56978,60251,63667,66975,70490,74163,77396,79958,82675,85922,89267,92733,96353,99883,103516,107253,111096,115046,119105,123237,127497,132111,137051,142359
Females,82,48613,48445,48405,47803,47190,47580,48834,50732,53247,56324,59480,62563,65917,69388,72314,74852,77562,80517,83667,86978,90271,93664,97160,100759,104465,108277,111994,115941,119949,124290,128937
Females,83,45496,44932,44962,44925,44372,43819,44192,45364,47139,49462,52342,55324,58213,61354,64524,67356,69843,72308,75065,78043,81141,84340,87642,91050,94565,98189,101266,104824,108518,112270,116332
Females,84,42777,41506,41443,41478,41450,40946,40450,40795,41888,43456,45749,48579,51258,53936,56853,59795,62427,64738,67028,69580,72503,75529,78661,81901,85252,88717,91290,94246,97557,100996,104487
Females,85,39449,39942,38039,37979,38022,38012,37556,37102,37428,38376,39943,42191,44735,47202,49675,52361,55065,57501,59642,61747,64475,67307,70244,73291,76449,79722,81879,84344,87075,90134,93311
Females,86,34093,38848,36357,34631,34583,34629,34631,34222,33812,34054,35029,36589,38586,40914,43176,45433,47901,50383,52612,54569,57040,59607,62273,65042,67915,70897,72928,74975,77232,79734,82535
Females,87,27086,34041,35114,32861,31312,31277,31333,31329,30961,30557,30860,31844,33216,35031,37148,39198,41258,43508,45762,47784,49965,52231,54586,57033,59573,62210,64143,66025,67879,69923,72187
Females,88,24515,20577,30523,31499,29480,28093,28078,28129,28131,27761,27475,27827,28679,29916,31553,33465,35323,37177,39205,41237,43146,45133,47198,49345,51576,53893,55565,57298,58980,60635,62460
Females,89,71670,21786,21569,24552,25890,25746,25280,25093,25019,24948,24865,24909,25259,25977,27020,28360,29904,31524,33197,34933,36642,38424,40282,42219,44237,46340,47613,49084,50615,52100,53562
Females,90,0,60308,19216,19031,21672,22858,22741,22334,22179,22116,22057,21986,22033,22345,22982,23912,25097,26464,27908,29392,30903,32484,34136,35864,37668,39553,40625,41763,43053,44395,45698
Females,91,0,0,50257,16792,16630,18942,19988,19890,19539,19404,19358,19313,19254,19297,19580,20140,20955,21999,23201,24465,25777,27152,28593,30103,31684,33339,34365,35343,36333,37455,38622
Females,92,0,0,0,41455,14521,14377,16386,17294,17216,16915,16805,16768,16734,16685,16728,16971,17466,18175,19082,20125,21236,22401,23625,24910,26257,27669,28554,29462,30300,31149,32111
Females,93,0,0,0,0,33819,12413,12293,14019,14800,14736,14481,14389,14364,14335,14298,14338,14554,14979,15586,16368,17282,18242,19251,20311,21422,22589,23273,24015,24780,25484,26198
Females,94,0,0,0,0,0,27268,10494,10386,11846,12508,12465,12249,12171,12156,12134,12106,12145,12326,12685,13206,13935,14700,15504,16347,17231,18158,18711,19272,19887,20520,21103
Females,95,0,0,0,0,0,0,21710,8755,8662,9881,10437,10404,10224,10163,10154,10139,10120,10153,10309,10613,11169,11752,12362,13000,13667,14365,14865,15326,15786,16290,16808
Females,96,0,0,0,0,0,0,0,17043,7200,7123,8127,8586,8564,8420,8371,8367,8357,8342,8373,8503,8906,9325,9762,10217,10689,11181,11659,12085,12459,12833,13242
Females,97,0,0,0,0,0,0,0,0,13189,5832,5770,6587,6960,6948,6833,6790,6791,6787,6779,6801,7061,7329,7605,7889,8182,8484,8865,9259,9597,9894,10191
Females,98,0,0,0,0,0,0,0,0,0,10044,4651,4602,5248,5555,5550,5457,5425,5426,5423,5418,5564,5713,5864,6018,6174,6332,6555,6860,7165,7427,7657
Females,99,0,0,0,0,0,0,0,0,0,0,7522,3648,3612,4117,4360,4353,4283,4262,4264,4265,4335,4405,4475,4545,4615,4685,4754,4929,5159,5388,5585
Females,100,0,0,0,0,0,0,0,0,0,0,0,5526,2810,2783,3174,3361,3358,3304,3289,3292,3312,3332,3351,3369,3386,3403,3408,3464,3591,3758,3925
Females,101,0,0,0,0,0,0,0,0,0,0,0,0,3980,2121,2105,2400,2541,2543,2502,2490,2478,2466,2453,2439,2425,2410,2389,2397,2436,2526,2644
Females,102,0,0,0,0,0,0,0,0,0,0,0,0,0,2804,1572,1558,1781,1886,1885,1855,1822,1788,1755,1722,1690,1657,1627,1616,1621,1648,1709
Females,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1928,1142,1130,1291,1370,1367,1315,1264,1215,1168,1122,1078,1072,1055,1047,1050,1068
Females,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1287,810,805,915,971,908,849,794,742,694,648,664,662,651,647,648
Females,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830,560,558,637,583,533,487,446,407,372,379,389,387,381,379
Females,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,380,381,307,247,198,159,128,103,205,209,214,214,210
Females,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,251,0,0,0,0,0,0,53,106,108,111,110
Females,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,26,51,52,53
Females,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,23
Females,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
